TableName,Sensitivity,Specificity,PositivePred,NegativePred,Accuracy,FailureRate
Rocha/ST,81.0,98.5,88.2,97.5,96.5,3.5
Mohebbi/ST,68.5,98.1,82.8,96.2,94.9,5.1
Gopalak/ST,86.3,98.8,90.5,98.2,97.3,2.7
Gopalak/T,73.0,98.5,86.1,97.4,96.4,3.6
