TableName,Sensitivity,Specificity,PositivePred,NegativePred,Accuracy,FailureRate
Rocha/ST,85.4,98.0,89.6,97.2,96.1,3.9
Mohebbi/ST,82.7,97.3,87.2,96.4,95.2,4.8
Gopalak/ST,88.0,98.4,91.0,97.8,96.8,3.2
Gopalak/T,82.0,97.6,88.6,96.4,95.3,4.7
