TableName,Sensitivity,Specificity,PositivePred,NegativePred,Accuracy,FailureRate
Rocha/ST,77.0,98.4,86.6,97.0,96.0,4.0
Mohebbi/ST,65.8,98.3,82.5,95.8,94.7,5.3
Gopalak/ST,83.9,98.6,89.0,98.0,97.0,3.0
Gopalak/T,71.1,98.5,84.7,97.1,96.1,3.9
