TableName,Sensitivity,Specificity,PositivePred,NegativePred,Accuracy,FailureRate
Rocha/ST,85.3,97.9,89.4,97.2,96.0,4.0
Mohebbi/ST,74.0,97.4,84.9,95.1,93.8,6.2
Gopalak/ST,89.2,98.3,91.7,98.0,97.0,3.0
Gopalak/T,83.9,97.5,88.3,96.7,95.4,4.6
